epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71863,1.69993,3.98966,1.5217,0.00056,0.04167,0.00041,0.00016,1.77246,3.88514,1.65369,2.5e-05,2.5e-05,2.5e-05
2,2.72099,1.71739,4.01798,1.53707,0.00055,0.04167,0.00049,0.0002,1.75763,3.89423,1.65218,6.12625e-05,6.12625e-05,6.12625e-05
3,3.7586,1.44288,3.95582,1.33303,0.00053,0.04167,0.00147,0.00059,1.44466,3.80546,1.40988,9.604e-05,9.604e-05,9.604e-05
4,4.84348,1.4273,3.7935,1.30591,0.00297,0.4375,0.01734,0.00373,1.1802,3.72614,1.17987,0.000129332,0.000129332,0.000129332
5,5.91804,1.38609,3.50845,1.24532,0.00429,0.58333,0.1159,0.04711,1.10168,3.63687,1.05721,0.00016114,0.00016114,0.00016114
6,6.96973,1.19287,2.90162,1.14074,0.00706,0.83333,0.27431,0.12179,1.09366,3.55097,1.01875,0.000191463,0.000191463,0.000191463
7,8.02992,1.20373,2.80328,1.1108,0.00759,0.91667,0.47904,0.26666,1.11625,3.36971,0.98637,0.0002203,0.0002203,0.0002203
8,9.09415,1.1995,2.49179,1.11703,0.00761,0.91667,0.5599,0.31773,1.13186,3.29299,0.98218,0.000247653,0.000247653,0.000247653
9,10.1797,1.0914,2.16833,1.07724,0.00824,1,0.58343,0.33331,1.13556,3.10441,0.98585,0.00027352,0.00027352,0.00027352
10,11.2532,1.22539,1.87924,1.1829,0.00796,1,0.57809,0.33118,1.09268,3.01159,0.98913,0.000297903,0.000297903,0.000297903
11,12.3264,1.21633,1.72169,1.11115,0.008,1,0.66518,0.42586,1.015,2.81216,0.97214,0.0003208,0.0003208,0.0003208
12,13.4004,1.07875,1.70624,1.10321,0.00841,1,0.74299,0.50037,0.99823,2.72041,0.97396,0.000342213,0.000342213,0.000342213
13,14.4859,1.04244,1.53024,1.07907,0.00848,1,0.75973,0.54465,1.00283,2.59555,1.0051,0.00036214,0.00036214,0.00036214
14,15.5416,0.97695,1.41105,1.03811,0.00863,1,0.78192,0.56428,1.02547,2.58327,1.00528,0.000380582,0.000380582,0.000380582
15,16.6124,1.18966,1.46028,1.12225,0.0088,1,0.80631,0.53508,1.27156,2.63913,1.08813,0.00039754,0.00039754,0.00039754
16,17.6597,1.10363,1.30431,1.10096,0.00887,1,0.81243,0.52803,1.23534,2.68215,1.07562,0.000413012,0.000413012,0.000413012
17,18.7239,0.98459,1.21079,1.04105,0.00852,1,0.78807,0.5314,1.06129,2.68639,1.01874,0.000427,0.000427,0.000427
18,19.77,0.96373,1.24376,1.04178,0.00846,1,0.8883,0.60984,1.03407,2.58482,0.98796,0.000439502,0.000439502,0.000439502
19,20.8414,1.14024,1.34695,1.07856,0.88821,0.69342,0.88875,0.61208,1.06969,2.5006,0.9795,0.00045052,0.00045052,0.00045052
20,21.9077,1.0409,1.22853,1.03107,1,0.2136,0.97214,0.67598,1.06972,2.3633,1.00045,0.000460053,0.000460053,0.000460053
21,22.9713,0.97136,1.17512,1.00779,1,0.62087,0.97214,0.66537,1.10203,2.16092,1.02201,0.0004681,0.0004681,0.0004681
22,24.0082,1.00422,1.11625,1.00127,0.98395,0.74476,0.98167,0.65493,1.18667,2.01158,1.07024,0.000474663,0.000474663,0.000474663
23,25.0456,1.01886,1.11725,1.03662,0.93827,0.85424,0.9675,0.61865,1.23798,1.86554,1.14018,0.00047974,0.00047974,0.00047974
24,26.085,0.99977,1.11463,1.01688,0.9455,0.8833,0.96792,0.60728,1.25297,1.80107,1.16282,0.000483333,0.000483333,0.000483333
25,27.1237,0.96092,1.20083,1.06507,0.98433,0.85193,0.96638,0.63518,1.25013,1.90671,1.16711,0.00048544,0.00048544,0.00048544
26,28.1711,0.90916,0.99571,1.00642,1,0.76602,0.95621,0.61622,1.30378,2.07605,1.16357,0.000486063,0.000486063,0.000486063
27,29.2141,1.02857,1.05759,1.0916,0.9816,0.78572,0.95377,0.64725,1.28199,2.15428,1.12946,0.0004852,0.0004852,0.0004852
28,30.2516,0.93667,0.99257,1.03067,0.94498,0.81048,0.93119,0.66657,1.19635,2.06739,1.07706,0.000482852,0.000482852,0.000482852
29,31.2777,0.83378,0.95523,0.98506,0.94498,0.81048,0.93119,0.66657,1.19635,2.06739,1.07706,0.00047902,0.00047902,0.00047902
30,32.3398,0.8328,0.91856,0.94183,0.9057,0.85406,0.94848,0.70735,1.09485,1.80938,1.05979,0.000473703,0.000473703,0.000473703
31,33.4524,0.84025,0.88162,0.97144,0.94514,0.87719,0.94811,0.70291,1.01937,1.57522,1.0647,0.0004669,0.0004669,0.0004669
32,34.545,0.84938,0.94408,1.00814,0.97825,0.89419,0.95518,0.71206,1.01117,1.44069,1.0734,0.000458613,0.000458613,0.000458613
33,35.6323,0.94822,1.00574,1.02961,0.97825,0.89419,0.95518,0.71206,1.01117,1.44069,1.0734,0.00044884,0.00044884,0.00044884
34,36.6906,0.8388,0.98778,1.00104,0.96277,0.90116,0.95552,0.71283,1.00741,1.3982,1.06961,0.00043325,0.00043325,0.00043325
35,37.7682,0.94118,0.92655,1.01933,0.95983,0.91478,0.96763,0.70029,1.01374,1.34654,1.0546,0.0004085,0.0004085,0.0004085
36,38.8391,0.95761,0.86486,1.0177,0.97426,0.91313,0.95516,0.68475,1.01471,1.33751,1.05441,0.00038375,0.00038375,0.00038375
37,39.9001,0.85928,0.88404,0.9583,0.97426,0.91313,0.95516,0.68475,1.01471,1.33751,1.05441,0.000359,0.000359,0.000359
38,40.9686,0.8524,0.83654,0.9589,0.96174,0.91017,0.96912,0.71625,0.98583,1.29692,1.02989,0.00033425,0.00033425,0.00033425
39,42.0584,0.81313,0.84911,0.95854,0.95769,0.9031,0.97214,0.7314,0.93577,1.21158,1.0008,0.0003095,0.0003095,0.0003095
40,43.1367,0.79842,0.80844,0.95104,0.96939,0.88561,0.979,0.73514,0.92577,1.11466,0.97416,0.00028475,0.00028475,0.00028475
41,44.8286,0.69787,0.86761,0.94463,0.96939,0.88561,0.979,0.73514,0.92577,1.11466,0.97416,0.00026,0.00026,0.00026
42,45.9383,0.70644,0.92345,0.93724,0.97483,0.87871,0.98929,0.74062,0.92689,1.0856,0.9676,0.00023525,0.00023525,0.00023525
43,47.0163,0.66593,0.87634,0.88841,0.98233,0.87867,0.98929,0.73042,0.93064,1.09504,0.96932,0.0002105,0.0002105,0.0002105
44,48.0828,0.72102,0.92505,0.93075,0.98451,0.88175,0.995,0.73009,0.95593,1.1122,0.97805,0.00018575,0.00018575,0.00018575
45,49.1319,0.66234,0.83126,0.97167,0.98451,0.88175,0.995,0.73009,0.95593,1.1122,0.97805,0.000161,0.000161,0.000161
46,50.1954,0.64261,0.89141,0.894,0.98348,0.88991,0.995,0.73163,0.95573,1.10609,0.97754,0.00013625,0.00013625,0.00013625
47,51.2405,0.7305,0.94873,0.91105,0.98314,0.89542,0.995,0.73162,0.95034,1.09537,0.9755,0.0001115,0.0001115,0.0001115
48,52.2936,0.65111,0.87418,0.91795,0.98225,0.89739,0.995,0.7463,0.93702,1.06491,0.97216,8.675e-05,8.675e-05,8.675e-05
49,53.3432,0.69085,0.90979,0.93344,0.98225,0.89739,0.995,0.7463,0.93702,1.06491,0.97216,6.2e-05,6.2e-05,6.2e-05
50,54.4079,0.66703,0.89817,0.91272,0.98236,0.89653,0.995,0.74702,0.93246,1.02915,0.97349,3.725e-05,3.725e-05,3.725e-05
